date,time,n-bits,eps,alpha,mask_reg,logit_reg,decoder_steps,decoder_lr,batch_size,epochs,channel,plot_url,eval_ber_aac_(128k),eval_snr_aac_(128k),eval_lsd_aac_(128k),eval_ber_identity,eval_snr_identity,eval_lsd_identity,eval_ber_mp3_(128k),eval_snr_mp3_(128k),eval_lsd_mp3_(128k),eval_ber_mp3_(64k),eval_snr_mp3_(64k),eval_lsd_mp3_(64k),eval_ber_noise_(std=0.01),eval_snr_noise_(std=0.01),eval_lsd_noise_(std=0.01),eval_ber_quant_(12_bit),eval_snr_quant_(12_bit),eval_lsd_quant_(12_bit),eval_ber_random_eq,eval_snr_random_eq,eval_lsd_random_eq,eval_ber_resample_(0.9x),eval_snr_resample_(0.9x),eval_lsd_resample_(0.9x),eval_ber_resample_(1.1x),eval_snr_resample_(1.1x),eval_lsd_resample_(1.1x)
20251214,040608,16,0.4,0.0,0.0001,0.0001,1,1e-4,32,20,full_hf1,plots/20251214-040608_bits16_eps0.4_alpha0.0_beta0.0_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chfull_hf1.png,0.1802,10.31,0.052,0.1225,10.31,0.052,0.1907,10.31,0.052,0.2582,10.31,0.052,0.3282,10.31,0.052,0.1843,10.31,0.052,0.1554,10.31,0.052,0.4515,10.31,0.052,0.4528,10.31,0.052
20251213,223646,16,0.4,0.0,0.0001,0.0001,1,1e-4,32,20,none_hf1,plots/20251213-223646_bits16_eps0.4_alpha0.0_beta0.0_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chnone_hf1.png,0.1323,10.39,0.066,0.0775,10.39,0.066,0.1507,10.39,0.066,0.2186,10.39,0.066,0.29,10.39,0.066,0.1323,10.39,0.066,0.2231,10.39,0.066,0.406,10.39,0.066,0.4276,10.39,0.066
20251213,164734,16,0.4,0.1,0.0001,0.0001,1,1e-4,32,20,full_hf1,plots/20251213-164734_bits16_eps0.4_alpha0.1_beta0.1_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chfull_hf1.png,0.2,11.58,0.033,0.1234,11.58,0.033,0.2129,11.58,0.033,0.2807,11.58,0.033,0.3357,11.58,0.033,0.1957,11.58,0.033,0.1608,11.58,0.033,0.482,11.58,0.033,0.4743,11.58,0.033
20251213,111111,16,0.4,0.1,0.0001,0.0001,1,1e-4,32,20,noise_only_hf1,plots/20251213-111111_bits16_eps0.4_alpha0.1_beta0.1_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chnoise_only_hf1.png,0.1522,10.13,0.048,0.0848,10.13,0.048,0.1748,10.13,0.048,0.2574,10.13,0.048,0.2966,10.13,0.048,0.1576,10.13,0.048,0.209,10.13,0.048,0.4291,10.13,0.048,0.4406,10.13,0.048
20251212,182237,16,0.3,0.2,0.0001,0.0001,2,1e-4,32,20,noise_only_hf1,plots/20251212-182237_bits16_eps0.3_alpha0.2_beta0.2_mask1e-4_logit1e-4_decLR1e-4_decSteps2_bs32_ep20_chnoise_only_hf1.png,0.2052,17.04,0.023,0.1442,17.04,0.023,0.2297,17.04,0.023,0.2904,17.04,0.023,0.3097,17.04,0.023,0.201,17.04,0.023,0.2767,17.04,0.023,0.4132,17.04,0.023,0.4298,17.04,0.023
20251212,095901,16,0.3,0.0,0.0001,0.0001,1,1e-4,32,30,noise_only_hf1,plots/20251212-095901_bits16_eps0.3_alpha0.0_beta0.0_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep30_chnoise_only_hf1.png,0.1821,12.49,0.049,0.117,12.49,0.049,0.1981,12.49,0.049,0.2688,12.49,0.049,0.3149,12.49,0.049,0.1823,12.49,0.049,0.246,12.49,0.049,0.4272,12.49,0.049,0.4443,12.49,0.049
20251212,042158,16,0.3,0.2,0.0001,0.0001,1,1e-4,32,20,noise_only_hf1,plots/20251212-042158_bits16_eps0.3_alpha0.2_beta0.2_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chnoise_only_hf1.png,0.2327,20.5,0.017,0.1605,20.5,0.017,0.2421,20.5,0.017,0.2997,20.5,0.017,0.3398,20.5,0.017,0.2239,20.5,0.017,0.2483,20.5,0.017,0.4505,20.5,0.017,0.4599,20.5,0.017
20251211,224523,16,0.4,0.0,0.0001,0.0001,1,1e-4,32,20,noise_only_hf1,plots/20251211-224523_bits16_eps0.4_alpha0.0_beta0.0_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chnoise_only_hf1.png,0.1574,10.49,0.056,0.0944,10.49,0.056,0.1798,10.49,0.056,0.2565,10.49,0.056,0.294,10.49,0.056,0.1608,10.49,0.056,0.2128,10.49,0.056,0.4251,10.49,0.056,0.4379,10.49,0.056
20251211,154331,16,0.3,0.0,0.0001,0.0001,1,1e-4,32,20,noise_only_hf1,plots/20251211-154331_bits16_eps0.3_alpha0.0_beta0.0_mask1e-4_logit1e-4_decLR1e-4_decSteps1_bs32_ep20_chnoise_only_hf1.png,0.1869,13.3,0.03,0.1227,13.3,0.03,0.2155,13.3,0.03,0.28,13.3,0.03,0.3207,13.3,0.03,0.1898,13.3,0.03,0.2507,13.3,0.03,0.4283,13.3,0.03,0.4533,13.3,0.03
20251211,124606,16,0.5,0.0,0.1,0.01,0,3e-4,32,10,noise_only_hf1,plots/20251211-124606_bits16_eps0.5_alpha0.0_beta0.0_mask0.1_logit0.01_decLR3e-4_decSteps0_bs32_ep10_chnoise_only_hf1.png,0.1402,13.68,0.031,0.0765,13.68,0.031,0.1561,13.68,0.031,0.2296,13.68,0.031,0.2723,13.68,0.031,0.1352,13.68,0.031,0.1612,13.68,0.031,0.4508,13.68,0.031,0.4527,13.68,0.031
20251211,102617,16,0.5,0.1,0.1,0.01,0,3e-4,32,10,noise_only_hf1,plots/20251211-102617_bits16_eps0.5_alpha0.1_beta0.1_mask0.1_logit0.01_decLR3e-4_decSteps0_bs32_ep10_chnoise_only_hf1.png,0.164,15.62,0.03,0.0901,15.62,0.03,0.1705,15.62,0.03,0.2476,15.62,0.03,0.2947,15.62,0.03,0.1511,15.62,0.03,0.1305,15.62,0.03,0.4787,15.62,0.03,0.485,15.62,0.03
20251210,233808,16,0.4,0.0,0.1,0.01,0,3e-4,32,10,noise_only_hf1,plots/20251210-233808_bits16_eps0.4_alpha0.0_beta0.0_mask0.1_logit0.01_decLR3e-4_decSteps0_bs32_ep10_chnoise_only_hf1.png,0.1771,19.28,0.02,0.0988,19.28,0.02,0.1856,19.28,0.02,0.2609,19.28,0.02,0.3018,19.28,0.02,0.1608,19.28,0.02,0.1969,19.28,0.02,0.4456,19.28,0.02,0.4471,19.28,0.02
20251210,211954,16,0.3,0.0,0.1,0.01,0,3e-4,32,10,noise_only_hf1,plots/20251210-211954_bits16_eps0.3_alpha0.0_beta0.0_mask0.1_logit0.01_decLR3e-4_decSteps0_bs32_ep10_chnoise_only_hf1.png,0.2312,20.89,0.013,0.1627,20.89,0.013,0.2403,20.89,0.013,0.3052,20.89,0.013,0.3491,20.89,0.013,0.221,20.89,0.013,0.2152,20.89,0.013,0.4786,20.89,0.013,0.4832,20.89,0.013
20251210,151800,16,0.2,0.0,0.1,0.01,0,3e-4,32,10,noise_only_hf1,plots/20251210-151800_bits16_eps0.2_alpha0.0_beta0.0_mask0.1_logit0.01_decLR3e-4_decSteps0_bs32_ep10_chnoise_only_hf1.png,0.279,29.48,0.006,0.2058,29.48,0.006,0.2938,29.48,0.006,0.3488,29.48,0.006,0.383,29.48,0.006,0.2699,29.48,0.006,0.2863,29.48,0.006,0.477,29.48,0.006,0.4817,29.48,0.006
20251209,224948,16,0.05,1.0,0.1,0.01,0,3e-4,32,10,noise_only_hf1,plots/20251209-224948_bits16_eps0.05_alpha1.0_beta1.0_mask0.1_logit0.01_decLR3e-4_decSteps0_bs32_ep10_chnoise_only_hf1.png,0.4816,53.35,0.001,0.4746,53.35,0.001,0.4799,53.35,0.001,0.485,53.35,0.001,0.4923,53.35,0.001,0.4806,53.35,0.001,0.4833,53.35,0.001,0.499,53.35,0.001,0.5018,53.35,0.001
20251209,153608,16,0.2,0.1,0.01,0.01,0,3e-4,32,10,full_hf0,plots/20251209-153608_bits16_eps0.2_alpha0.1_beta0.1_mask0.01_logit0.01_decLR3e-4_decSteps0_bs32_ep10_chfull_hf0.png,0.3449,16.36,0.009,0.2557,16.36,0.009,0.345,16.36,0.009,0.3786,16.36,0.009,0.4113,16.36,0.009,0.3092,16.36,0.009,0.2861,16.36,0.009,0.5045,16.36,0.009,0.501,16.36,0.009
20251201,164410,16,0.2,0.0,0.0,0.0,0,3e-4,32,20,noise_only,plots/20251201-164410_bits16_eps0.2_alpha0.0_beta0.0_mask0.0_logit0.0_decLR3e-4_decSteps0_bs32_ep20_chnoise_only.png,0.2418,15.44,0.035,0.168,15.44,0.035,0.264,15.44,0.035,0.309,15.44,0.035,0.333,15.44,0.035,0.2312,15.44,0.035,0.3154,15.44,0.035,0.3936,15.44,0.035,0.427,15.44,0.035
20251201,125751,16,0.2,0.0,0.0,0.0,0,3e-4,32,10,noise_only,plots/20251201-125751_bits16_eps0.2_alpha0.0_beta0.0_mask0.0_logit0.0_decLR3e-4_decSteps0_bs32_ep10_chnoise_only.png,0.2611,18.34,0.018,0.193,18.34,0.018,0.2716,18.34,0.018,0.3261,18.34,0.018,0.3694,18.34,0.018,0.2576,18.34,0.018,0.294,18.34,0.018,0.4531,18.34,0.018,0.4555,18.34,0.018
20251127,184226,16,0.1,0.0,0.0,0.0,0,3e-4,32,15,none,plots/20251127-184226_bits16_eps0.1_alpha0.0_beta0.0_mask0.0_logit0.0_decLR3e-4_decSteps0_bs32_ep15_chnone.png,0.308,23.2,0.009,0.2704,23.2,0.009,0.3644,23.2,0.009,0.3737,23.2,0.009,0.3883,23.2,0.009,0.3053,23.2,0.009,0.4075,23.2,0.009,0.4155,23.2,0.009,0.4649,23.2,0.009
20251127,142640,16,0.3,0.0,0.0,0.0,0,3e-4,32,10,none,plots/20251127-142640_bits16_eps0.3_alpha0.0_beta0.0_mask0.0_logit0.0_decLR3e-4_decSteps0_bs32_ep10_chnone.png,0.1905,12.7,0.046,0.1143,12.7,0.046,0.2105,12.7,0.046,0.2697,12.7,0.046,0.336,12.7,0.046,0.1863,12.7,0.046,0.2173,12.7,0.046,0.4437,12.7,0.046,0.4594,12.7,0.046
20251127,120115,16,0.2,0.0,0.0,0.0,0,3e-4,32,10,none,plots/20251127-120115_bits16_eps0.2_alpha0.0_beta0.0_mask0.0_logit0.0_decLR3e-4_decSteps0_bs32_ep10_chnone.png,0.2216,16.56,0.022,0.1768,16.56,0.022,0.2453,16.56,0.022,0.2981,16.56,0.022,0.346,16.56,0.022,0.2342,16.56,0.022,0.3085,16.56,0.022,0.4251,16.56,0.022,0.4505,16.56,0.022
20251127,092954,16,0.1,0.0,0.0,0.0,0,3e-4,32,10,none,plots/20251127-092954_bits16_eps0.1_alpha0.0_beta0.0_mask0.0_logit0.0_decLR3e-4_decSteps0_bs32_ep10_chnone.png,0.3308,30.6,0.007,0.2981,30.6,0.007,0.356,30.6,0.007,0.3783,30.6,0.007,0.4045,30.6,0.007,0.3309,30.6,0.007,0.4025,30.6,0.007,0.4399,30.6,0.007,0.4618,30.6,0.007
20251126,234814,16,0.2,0.0,0.0,0.0,0,5e-4,32,10,none,plots/20251126-234814_bits16_eps0.2_alpha0.0_beta0.0_mask0.0_logit0.0_decLR5e-4_decSteps0_bs32_ep10_chnone.png,0.2901,15.84,0.031,0.2051,15.84,0.031,0.2983,15.84,0.031,0.355,15.84,0.031,0.4282,15.84,0.031,0.2863,15.84,0.031,0.2544,15.84,0.031,0.4972,15.84,0.031,0.4989,15.84,0.031
